
::  brazilian-cars 

Atenção! Esta aplicação é apenas uma ferramenta de apoio ao desenvolvedor e não deve ser usada no ambiente de produção!

+----------+---------+-------------------------------- ACURA -----------------------+-------+----------+----------+
| Id       | Family  | Name                                                         | Year  | Fuel     | Model Id |
| 456720183 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2018  | Diesel   | 4567     |
| 456720173 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2017  | Diesel   | 4567     |
| 456720163 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2016  | Diesel   | 4567     |
| 456720153 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2015  | Diesel   | 4567     |
| 456720143 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2014  | Diesel   | 4567     |
| 456720133 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2013  | Diesel   | 4567     |
| 456720123 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2012  | Diesel   | 4567     |
| 456720113 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2011  | Diesel   | 4567     |
| 456720103 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2010  | Diesel   | 4567     |
| 456720093 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2009  | Diesel   | 4567     |
| 456720083 | MARRUÁ | MARRUÁ AM 200 2.8  CD TDI Diesel                             | 2008  | Diesel   | 4567     |
| 456820193 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2019  | Diesel   | 4568     |
| 456820183 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2018  | Diesel   | 4568     |
| 456820173 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2017  | Diesel   | 4568     |
| 456820163 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2016  | Diesel   | 4568     |
| 456820153 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2015  | Diesel   | 4568     |
| 456820143 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2014  | Diesel   | 4568     |
| 456820133 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2013  | Diesel   | 4568     |
| 456820123 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2012  | Diesel   | 4568     |
| 456820113 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2011  | Diesel   | 4568     |
| 456820103 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2010  | Diesel   | 4568     |
| 456820093 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2009  | Diesel   | 4568     |
| 456820083 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2008  | Diesel   | 4568     |
| 456820073 | MARRUÁ | MARRUÁ AM 200 2.8 CS TDI Diesel                              | 2007  | Diesel   | 4568     |
| 456920113 | MARRUÁ | MARRUÁ AM 50 2.8 140cv TDI Diesel                            | 2011  | Diesel   | 4569     |
| 456920103 | MARRUÁ | MARRUÁ AM 50 2.8 140cv TDI Diesel                            | 2010  | Diesel   | 4569     |
| 456920093 | MARRUÁ | MARRUÁ AM 50 2.8 140cv TDI Diesel                            | 2009  | Diesel   | 4569     |
| 456920083 | MARRUÁ | MARRUÁ AM 50 2.8 140cv TDI Diesel                            | 2008  | Diesel   | 4569     |
+-----------+--------+------------------------------- AGRALE -----------------------+-------+----------+----------+



+----------+--------+------------------------------ ALFA ROMEO --------------------+-------+----------+----------+
| Id       | Family | Name                                                         | Year  | Fuel     | Model Id |
+----------+--------+--------------------------------------------------------------+-------+----------+----------+
| 519991   | 145    | 145 Elegant 1.7/1.8 16V                                      | 1999  | Gasolina | 5        |
| 519981   | 145    | 145 Elegant 1.7/1.8 16V                                      | 1998  | Gasolina | 5        |
| 519971   | 145    | 145 Elegant 1.7/1.8 16V                                      | 1997  | Gasolina | 5        |
| 519961   | 145    | 145 Elegant 1.7/1.8 16V                                      | 1996  | Gasolina | 5        |
| 619981   | 145    | 145 Elegant 2.0 16V                                          | 1998  | Gasolina | 6        |
| 619971   | 145    | 145 Elegant 2.0 16V                                          | 1997  | Gasolina | 6        |
| 619961   | 145    | 145 Elegant 2.0 16V                                          | 1996  | Gasolina | 6        |
| 619951   | 145    | 145 Elegant 2.0 16V                                          | 1995  | Gasolina | 6        |
| 719991   | 145    | 145 Quadrifoglio 2.0                                         | 1999  | Gasolina | 7        |
| 719981   | 145    | 145 Quadrifoglio 2.0                                         | 1998  | Gasolina | 7        |
| 719971   | 145    | 145 Quadrifoglio 2.0                                         | 1997  | Gasolina | 7        |
| 719961   | 145    | 145 Quadrifoglio 2.0                                         | 1996  | Gasolina | 7        |
| 819981   | 145    | 145 QV                                                       | 1998  | Gasolina | 8        |
| 819971   | 145    | 145 QV                                                       | 1997  | Gasolina | 8        |
| 819961   | 145    | 145 QV                                                       | 1996  | Gasolina | 8        |
| 920051   | 147    | 147 2.0 16V 148cv 4p Semi-Aut.                               | 2005  | Gasolina | 9        |
| 920041   | 147    | 147 2.0 16V 148cv 4p Semi-Aut.                               | 2004  | Gasolina | 9        |
| 920031   | 147    | 147 2.0 16V 148cv 4p Semi-Aut.                               | 2003  | Gasolina | 9        |
| 1019971  | 155    | 155                                                          | 1997  | Gasolina | 10       |
| 1019961  | 155    | 155                                                          | 1996  | Gasolina | 10       |
| 1019951  | 155    | 155                                                          | 1995  | Gasolina | 10       |
| 1119971  | 155    | 155 Super                                                    | 1997  | Gasolina | 11       |
| 1119961  | 155    | 155 Super                                                    | 1996  | Gasolina | 11       |
| 1119951  | 155    | 155 Super                                                    | 1995  | Gasolina | 11       |
| 1220031  | 156    | 156 2.5 V6 24V 190cv 4p Aut.                                 | 2003  | Gasolina | 12       |
| 1219991  | 156    | 156 2.5 V6 24V 190cv 4p Aut.                                 | 1999  | Gasolina | 12       |
| 1320021  | 156    | 156 Sport Wagon 2.0 16V                                      | 2002  | Gasolina | 13       |
| 1320011  | 156    | 156 Sport Wagon 2.0 16V                                      | 2001  | Gasolina | 13       |
| 1420041  | 156    | 156 Sport Wagon 2.5 V6 24V 4p Aut.                           | 2004  | Gasolina | 14       |
| 1420031  | 156    | 156 Sport Wagon 2.5 V6 24V 4p Aut.                           | 2003  | Gasolina | 14       |
| 1520021  | 156    | 156 TS/Sport/Elegant 2.0 16V                                 | 2002  | Gasolina | 15       |
| 1520011  | 156    | 156 TS/Sport/Elegant 2.0 16V                                 | 2001  | Gasolina | 15       |
| 1520001  | 156    | 156 TS/Sport/Elegant 2.0 16V                                 | 2000  | Gasolina | 15       |
| 1519991  | 156    | 156 TS/Sport/Elegant 2.0 16V                                 | 1999  | Gasolina | 15       |
| 1619961  | 164    | 164 3.0 V6                                                   | 1996  | Gasolina | 16       |
| 1619951  | 164    | 164 3.0 V6                                                   | 1995  | Gasolina | 16       |
| 1619941  | 164    | 164 3.0 V6                                                   | 1994  | Gasolina | 16       |
| 1619931  | 164    | 164 3.0 V6                                                   | 1993  | Gasolina | 16       |
| 1619921  | 164    | 164 3.0 V6                                                   | 1992  | Gasolina | 16       |
| 1619911  | 164    | 164 3.0 V6                                                   | 1991  | Gasolina | 16       |
| 1719961  | 164    | 164 Super V6 24V                                             | 1996  | Gasolina | 17       |
| 1719951  | 164    | 164 Super V6 24V                                             | 1995  | Gasolina | 17       |
| 1820031  | 166    | 166 3.0 V6 24V                                               | 2003  | Gasolina | 18       |
| 1820021  | 166    | 166 3.0 V6 24V                                               | 2002  | Gasolina | 18       |
| 1820011  | 166    | 166 3.0 V6 24V                                               | 2001  | Gasolina | 18       |
| 1820001  | 166    | 166 3.0 V6 24V                                               | 2000  | Gasolina | 18       |
| 1819991  | 166    | 166 3.0 V6 24V                                               | 1999  | Gasolina | 18       |
| 1919861  | 2300   | 2300 TI/TI-4                                                 | 1986  | Gasolina | 19       |
| 1919851  | 2300   | 2300 TI/TI-4                                                 | 1985  | Gasolina | 19       |
| 2019971  | Spider | Spider 2.0/3.0                                               | 1997  | Gasolina | 20       |
| 2019961  | Spider | Spider 2.0/3.0                                               | 1996  | Gasolina | 20       |
| 2019951  | Spider | Spider 2.0/3.0                                               | 1995  | Gasolina | 20       |
| 2019931  | Spider | Spider 2.0/3.0                                               | 1993  | Gasolina | 20       |
| 2019921  | Spider | Spider 2.0/3.0                                               | 1992  | Gasolina | 20       |
| 2019911  | Spider | Spider 2.0/3.0                                               | 1991  | Gasolina | 20       |
+----------+--------+------------------------------ ALFA ROMEO --------------------+-------+----------+----------+



+----------+--------+-------------------------------- AM GEN ----------------------+-------+----------+----------+
| Id       | Family | Name                                                         | Year  | Fuel     | Model Id |
+----------+--------+--------------------------------------------------------------+-------+----------+----------+
| 2120003  | Hummer | Hummer Hard-Top 6.5 4x4 Diesel TB                            | 2000  | Diesel   | 21       |
